16              1.733960
32              1.732560
64              1.738360
128             1.739860
256             1.792060
512             1.127030
1024            1.741460
2048            1.741560
4096            1.663760
8192            1.745360
16384           1.744160
32768           1.759460
65536           2.595990
131072          2.840500
262144          3.063710
524288          4.475650
1048576         8.554490
2097152         10.871570
4194304         11.064080
8388608         11.769900
16777216        14.874810
33554432        32.123590
67108864        53.852430
134217728       70.196180
268435456       74.670530
536870912       101.039620
